data_dir,result_dir,num_run,balance_data,feaSelect,correlate,eps,min_Pts,k,MLmodel,select_method,LDF_r,predict_time,fit_time,select_Fea_time,totle_time,TN,FP,FN,TP,accuracy,precision,recall,F1,AUC,F_MEASURE,G_MEASURE,MCC
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,12,NB,LDF,6,0.000833011,0.001879501,0.00855546,1.057733512,37.4,188.3,28.3,88.5,0.367591241,0.319725434,0.757705479,0.449695122,0.461812068,0.449695122,0.271941114,-0.092210683
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,13,NB,LDF,6,0.000794005,0.001843858,0.008296537,0.998640966,48.3,177.4,29.5,87.3,0.395912409,0.329807329,0.747431507,0.457667104,0.480806052,0.457667104,0.332734794,-0.043635818
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,14,NB,LDF,6,0.000805569,0.001863575,0.008450294,1.003956866,51.4,174.3,29.4,87.4,0.405255474,0.333970195,0.748287671,0.461822985,0.488103609,0.461822985,0.349196454,-0.026770937
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,15,NB,LDF,6,0.00080955,0.001874924,0.008448935,1.000847626,34.6,191.1,23.7,93.1,0.372846715,0.327586207,0.797089041,0.464339152,0.475237424,0.464339152,0.257145879,-0.062576481
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,12,LR,LDF,6,0.000807023,0.024153852,0.007923508,1.236256647,202.6,23.1,95.8,21,0.652846715,0.476190476,0.179794521,0.261031697,0.538650113,0.261031697,0.299584064,0.109614752
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,13,LR,LDF,6,0.000832033,0.036203527,0.008488512,1.428362632,200.7,25,95.4,21.4,0.648467153,0.461206897,0.183219178,0.262254902,0.536138275,0.262254902,0.303835562,0.100360641
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,14,LR,LDF,6,0.000849819,0.036949539,0.008993626,1.407285881,200.1,25.6,94.6,22.2,0.649051095,0.464435146,0.190068493,0.269744836,0.538265987,0.269744836,0.313028368,0.104847732
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,15,LR,LDF,6,0.000846362,0.036971426,0.008250523,1.473088956,199,26.7,94.9,21.9,0.644963504,0.450617284,0.1875,0.264812576,0.534516653,0.264812576,0.3092383,0.094012151
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,12,SVM,LDF,6,0.011048651,1.117597628,0.00847075,6.474755001,210.3,15.4,104.7,12.1,0.649343066,0.44,0.10359589,0.167706168,0.517708602,0.167706168,0.186460692,0.06169125
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,13,SVM,LDF,6,0.011875534,0.956237483,0.008167219,6.549346733,210.3,15.4,104.7,12.1,0.649343066,0.44,0.10359589,0.167706168,0.517708602,0.167706168,0.186460692,0.06169125
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,14,SVM,LDF,6,0.012401557,1.224379015,0.008591247,6.51578033,210.3,15.4,104.7,12.1,0.649343066,0.44,0.10359589,0.167706168,0.517708602,0.167706168,0.186460692,0.06169125
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,15,SVM,LDF,6,0.014065123,1.29872005,0.008092618,6.344507027,210.5,15.2,104.7,12.1,0.649927007,0.443223443,0.10359589,0.167938931,0.51815108,0.167938931,0.18647842,0.063448164
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,12,RF,LDF,6,0.013905478,0.429849267,0.008320355,5.328833246,163.9,61.8,72.24,44.56,0.608642336,0.418954494,0.381506849,0.399354723,0.553624602,0.399354723,0.500219584,0.110330835
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,13,RF,LDF,6,0.014270854,0.420261312,0.00825479,5.276179242,166.04,59.66,72.21,44.59,0.614978102,0.427721823,0.381763699,0.403438136,0.558496093,0.403438136,0.50267266,0.120980026
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,14,RF,LDF,6,0.014083409,0.424352646,0.008574867,5.323840261,168.65,57.05,71.97,44.83,0.62329927,0.440027483,0.383818493,0.410005487,0.565320298,0.410005487,0.507141477,0.135897566
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,15,RF,LDF,6,0.014347243,0.45038681,0.007969475,5.562767315,175.55,50.15,71.88,44.92,0.643708029,0.472493952,0.384589041,0.424033606,0.580983191,0.424033606,0.514687682,0.171910496
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,12,DT,LDF,6,0.000718951,0.013834643,0.008524537,1.117284775,128.8,96.9,58.8,58,0.54540146,0.374435119,0.496575342,0.42694148,0.533423342,0.42694148,0.5310502,0.064047328
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,13,DT,LDF,6,0.000728583,0.014495134,0.008895135,1.124608183,130.69,95.01,60.44,56.36,0.546131387,0.372332695,0.482534247,0.420330387,0.530570062,0.420330387,0.526401774,0.058779105
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,14,DT,LDF,6,0.00073204,0.016116238,0.008262038,1.141034675,130.17,95.53,56.45,60.35,0.556262774,0.387156787,0.516695205,0.442643392,0.546540378,0.442643392,0.545068524,0.088944473
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,15,DT,LDF,6,0.00072298,0.020101571,0.008268881,1.170921898,138,87.7,55.12,61.68,0.583007299,0.412906681,0.528082192,0.463445789,0.569535874,0.463445789,0.566708398,0.13336533
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,12,KNN,LDF,6,0.025642991,0.014644361,0.008244705,1.398403049,162.4,63.3,65.4,51.4,0.624233577,0.448125545,0.440068493,0.444060475,0.579533558,0.444060475,0.546126997,0.160318073
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,13,KNN,LDF,6,0.026390314,0.014579463,0.008089137,1.41309936,162.5,63.2,65.4,51.4,0.624525547,0.448516579,0.440068493,0.444252377,0.579754797,0.444252377,0.546254567,0.160797947
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,14,KNN,LDF,6,0.028657174,0.014916182,0.008176446,1.427373648,167.6,58.1,67.5,49.3,0.633284672,0.459031657,0.422089041,0.439785905,0.582145709,0.439785905,0.53823818,0.16825467
../data/,../result_data/,10,NO,Variance,Euclidean,19,2,15,KNN,LDF,6,0.031178141,0.015627933,0.008623123,1.467544508,171.7,54,68.4,48.4,0.642627737,0.47265625,0.414383562,0.441605839,0.587358578,0.441605839,0.536520238,0.181341212
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,12,NB,LDF,6,0.00079174,0.001806045,0.017344332,1.002262354,213.7,12,70.2,46.6,0.76,0.795221843,0.398972603,0.531356899,0.672629757,0.531356899,0.561389129,0.435297892
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,13,NB,LDF,6,0.00080564,0.001857758,0.017361808,1.006496739,213.7,12,69.9,46.9,0.760875912,0.796264856,0.401541096,0.533864542,0.673911808,0.533864542,0.563926957,0.437644168
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,14,NB,LDF,6,0.000830889,0.001872182,0.017531228,1.015225124,207.6,18.1,70.7,46.1,0.740729927,0.718068536,0.394691781,0.509392265,0.656993746,0.509392265,0.552362676,0.38201407
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,15,NB,LDF,6,0.00081265,0.001922941,0.01854198,1.013763928,201.5,24.2,71.5,45.3,0.720583942,0.651798561,0.387842466,0.486312399,0.640075683,0.486312399,0.540764782,0.330775133
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,12,LR,LDF,6,0.000914836,0.025672793,0.01867404,1.347806263,214.4,11.3,19.8,97,0.90919708,0.895660203,0.830479452,0.861839183,0.890114159,0.861839183,0.886199201,0.795616934
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,13,LR,LDF,6,0.000849605,0.026384878,0.020326161,1.344432139,214.4,11.3,21.4,95.4,0.904525547,0.894095595,0.816780822,0.853691275,0.883253464,0.853691275,0.878339492,0.784813905
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,14,LR,LDF,6,0.000847054,0.030781078,0.01984818,1.379732203,210.4,15.3,21.1,95.7,0.893722628,0.862162162,0.819349315,0.840210711,0.875683992,0.840210711,0.872143996,0.76122667
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,15,LR,LDF,6,0.000848341,0.037551379,0.020153403,1.445739102,209.6,16.1,20.9,95.9,0.891970803,0.85625,0.821061644,0.838286713,0.874771482,0.838286713,0.871555271,0.757611336
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,12,SVM,LDF,6,0.004129601,0.081751204,0.020393705,1.813732052,213.7,12,18.1,98.7,0.912116788,0.891598916,0.845034247,0.867692308,0.895828988,0.867692308,0.893041541,0.80261736
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,13,SVM,LDF,6,0.004352999,0.080443597,0.017480612,1.796358824,214.7,11,19.9,96.9,0.909781022,0.898053753,0.829623288,0.862483311,0.890319846,0.862483311,0.886288857,0.796893209
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,14,SVM,LDF,6,0.004519057,0.089297843,0.017355251,1.833966613,210.9,14.8,19.7,97.1,0.899270073,0.867739053,0.831335616,0.849147355,0.882746098,0.849147355,0.879871549,0.773991569
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,15,SVM,LDF,6,0.004915452,0.0947896,0.017566252,1.886204362,209.3,16.4,19.9,96.9,0.894014599,0.855251545,0.829623288,0.842242503,0.878355258,0.842242503,0.875763037,0.762672583
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,12,RF,LDF,6,0.012275696,0.306197095,0.016891122,4.082700491,211.18,14.52,11.51,105.29,0.924,0.878808113,0.901455479,0.889987744,0.918459713,0.889987744,0.918242601,0.83210708
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,13,RF,LDF,6,0.012435293,0.314214206,0.018513823,4.265594196,212.37,13.33,11.48,105.32,0.927562044,0.88765276,0.901712329,0.894627309,0.921222408,0.894627309,0.920908276,0.839504145
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,14,RF,LDF,6,0.011984229,0.31711216,0.017504692,4.24402051,211.56,14.14,11.86,104.94,0.924087591,0.881256298,0.898458904,0.889774462,0.917798508,0.889774462,0.917492726,0.831982132
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,15,RF,LDF,6,0.011910582,0.328354883,0.017442131,4.300525451,208.84,16.86,12.25,104.55,0.915007299,0.861131702,0.895119863,0.877796902,0.910105173,0.877796902,0.909959308,0.81303847
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,12,DT,LDF,6,0.000696087,0.006538987,0.016124344,1.054603457,212.94,12.76,12.74,104.06,0.925547445,0.890772128,0.890924658,0.890848386,0.917086991,0.890848386,0.916442296,0.834354974
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,13,DT,LDF,6,0.000739908,0.007686543,0.017733598,1.088714266,213.36,12.34,12.3,104.5,0.928058394,0.894385484,0.894691781,0.894538606,0.919905669,0.894538606,0.919312042,0.839948066
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,14,DT,LDF,6,0.000694537,0.008099508,0.017384529,1.062194443,213.37,12.33,12.12,104.68,0.928613139,0.894624391,0.896232877,0.895427912,0.920695919,0.895427912,0.920145888,0.841238729
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,15,DT,LDF,6,0.000694919,0.008666945,0.017045832,1.073500276,213.26,12.44,12.04,104.76,0.928525547,0.893856655,0.896917808,0.895384615,0.920796548,0.895384615,0.92027564,0.841108312
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,12,KNN,LDF,6,0.019847918,0.00706327,0.01618681,1.262634373,199.3,26.4,22.1,94.7,0.858394161,0.781998348,0.810787671,0.796132829,0.84674091,0.796132829,0.845368508,0.687974016
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,13,KNN,LDF,6,0.022232676,0.007294512,0.015134478,1.319633675,201.4,24.3,22.4,94.4,0.863649635,0.795282224,0.808219178,0.801698514,0.850090625,0.801698514,0.848196727,0.697868349
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,14,KNN,LDF,6,0.022098708,0.007427764,0.014625573,1.307377219,188.9,36.8,26.2,90.6,0.816058394,0.711145997,0.775684932,0.742014742,0.806163508,0.742014742,0.805154505,0.600876538
../data/,../result_data/,10,NO,Correlate,Euclidean,19,2,15,KNN,LDF,6,0.023045945,0.007678056,0.015108657,1.321953249,186.9,38.8,26.9,89.9,0.808175182,0.698523699,0.769691781,0.732382892,0.798730325,0.732382892,0.797823855,0.585109341
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,12,NB,LDF,6,0.000799274,0.001812816,0.007818174,0.991489553,209.2,16.5,67.5,49.3,0.754744526,0.749240122,0.422089041,0.539978094,0.674223518,0.539978094,0.580039633,0.419927321
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,13,NB,LDF,6,0.000798464,0.001847363,0.007862496,0.991008401,199.8,25.9,68.8,48,0.72350365,0.649526387,0.410958904,0.503408495,0.647871503,0.503408495,0.561330561,0.341353278
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,14,NB,LDF,6,0.000808978,0.001864457,0.007804942,0.986988187,199.8,25.9,68.2,48.6,0.725255474,0.652348993,0.41609589,0.508102457,0.650435605,0.508102457,0.566103669,0.346258971
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,15,NB,LDF,6,0.000810027,0.001895452,0.007851481,0.989705253,199.8,25.9,68.1,48.7,0.725547445,0.652815013,0.416952055,0.508881923,0.65086664,0.508881923,0.566895526,0.347074697
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,12,LR,LDF,6,0.000829697,0.022165895,0.008119941,1.273930359,213.7,12,24.5,92.3,0.893430657,0.884947267,0.790239726,0.834916327,0.868394798,0.834916327,0.861477712,0.759248541
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,13,LR,LDF,6,0.000855112,0.024497151,0.008071399,1.32554543,213.5,12.2,24.5,92.3,0.892846715,0.883253589,0.790239726,0.834161771,0.867956004,0.834161771,0.861110741,0.757927976
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,14,LR,LDF,6,0.000832796,0.020784712,0.008091497,1.277602625,212.6,13.1,23.7,93.1,0.892554745,0.876647834,0.797089041,0.834977578,0.869405512,0.834977578,0.863489612,0.757469885
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,15,LR,LDF,6,0.000863457,0.026313901,0.007967639,1.304699159,212.6,13.1,23.7,93.1,0.892554745,0.876647834,0.797089041,0.834977578,0.869405512,0.834977578,0.863489612,0.757469885
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,12,SVM,LDF,6,0.004370379,0.056471539,0.007986522,1.617724895,211.1,14.6,27.6,89.2,0.876788321,0.859344894,0.76369863,0.808703536,0.849358629,0.808703536,0.840838314,0.721018353
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,13,SVM,LDF,6,0.004663682,0.060734606,0.00801177,1.634654903,211.4,14.3,27.6,89.2,0.877664234,0.861835749,0.76369863,0.809804812,0.850022346,0.809804812,0.841375015,0.722981401
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,14,SVM,LDF,6,0.004856372,0.072359228,0.007773304,1.622501588,210.4,15.3,27.4,89.4,0.875328467,0.853868195,0.765410959,0.807223476,0.848648688,0.807223476,0.84061646,0.717840595
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,15,SVM,LDF,6,0.00530684,0.076601982,0.008206105,1.740203404,210.4,15.3,27.4,89.4,0.875328467,0.853868195,0.765410959,0.807223476,0.848648688,0.807223476,0.84061646,0.717840595
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,12,RF,LDF,6,0.011737442,0.286372399,0.008067775,3.93062017,211.97,13.73,11.67,105.13,0.925839416,0.88448595,0.900085616,0.892217602,0.919513669,0.892217602,0.919211115,0.83577104
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,13,RF,LDF,6,0.012301469,0.30033567,0.008161902,4.124234271,211.29,14.41,12.08,104.72,0.922656934,0.879039705,0.896575342,0.887720934,0.916248043,0.887720934,0.915937401,0.828835174
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,14,RF,LDF,6,0.01173203,0.301468635,0.007824206,4.060058188,208.32,17.38,12.34,104.46,0.913226277,0.857353907,0.894349315,0.875460945,0.908555812,0.875460945,0.908446457,0.809348493
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,15,RF,LDF,6,0.011854315,0.304878163,0.007923961,4.121449947,204.96,20.74,13.05,103.75,0.901343066,0.833400273,0.888270548,0.859961043,0.89806262,0.859961043,0.898079794,0.784876583
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,12,DT,LDF,6,0.000691366,0.006283426,0.007812595,1.03833735,213.28,12.42,12.87,103.93,0.926160584,0.893253116,0.889811644,0.891529059,0.917292073,0.891529059,0.916562284,0.83556305
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,13,DT,LDF,6,0.000707006,0.006870294,0.00786314,1.063479829,213.6,12.1,12.82,103.98,0.927240876,0.895761544,0.890239726,0.892992099,0.918228842,0.892992099,0.917456073,0.837883979
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,14,DT,LDF,6,0.00070107,0.007340288,0.007819319,1.057910228,212.7,13,12.73,104.07,0.924875912,0.888955326,0.891010274,0.889981614,0.91660806,0.889981614,0.91598559,0.832948451
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,15,DT,LDF,6,0.000696731,0.007889771,0.007842135,1.071131492,212.76,12.94,12.72,104.08,0.925080292,0.889420612,0.89109589,0.890257463,0.916776243,0.890257463,0.916156397,0.833385301
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,12,KNN,LDF,6,0.01874342,0.00664494,0.00778358,1.229664898,201.6,24.1,20.4,96.4,0.870072993,0.8,0.825342466,0.812473662,0.859190174,0.812473662,0.857941267,0.713316676
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,13,KNN,LDF,6,0.019009638,0.006837106,0.007756281,1.22874732,194.4,31.3,21.9,94.9,0.844671533,0.751980983,0.8125,0.781069959,0.83684113,0.781069959,0.836198197,0.662175912
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,14,KNN,LDF,6,0.019135618,0.007099915,0.007684445,1.237116337,192.7,33,22.7,94.1,0.837372263,0.74036192,0.805650685,0.771627716,0.829598636,0.771627716,0.829021255,0.64709216
../data/,../result_data/,10,NO,Chi2,Euclidean,19,2,15,KNN,LDF,6,0.017125583,0.006784821,0.007758975,1.217563486,189.4,36.3,25,91.8,0.821021898,0.716627635,0.785958904,0.749693753,0.812446561,0.749693753,0.811691928,0.612445949
../data/,../result_data/,10,NO,Muinfor,Euclidean,19,2,12,NB,LDF,6,0.000943661,0.001923513,6.534543538,7.522978377,207.6,18.1,32.5,84.3,0.852262774,0.823242188,0.721746575,0.769160584,0.820694486,0.769160584,0.808827618,0.664313002
../data/,../result_data/,10,NO,Muinfor,Euclidean,19,2,13,NB,LDF,6,0.000801134,0.001843715,6.546260118,7.533305264,209.2,16.5,31.7,85.1,0.859270073,0.837598425,0.72859589,0.779304029,0.827676947,0.779304029,0.815868702,0.68028049
